Unique,Date,Length,Lake,Location,Gear,Latitude,Longitude,Frequency,Code,Tagger,Blank,6/23/2022,7/11/2022,7/21/2022,8/10/2022,8/23/2022,9/13/2022,9/27/2022,10/26/2022,4/27/2023,6/4/2023,6/23/2023,7/17/2023,8/15/2023,9/22/2023,10/11/2023,Harvest info
1,4/5/2022,555,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,1,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,AL,
2,4/5/2022,529,Lower,Camp,H&L,63.1345,-145.9564,150.400,2,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
3,4/5/2022,523,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,3,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
4,4/5/2022,514,Lower,Camp,H&L,63.1345,-145.9564,150.400,4,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
5,4/5/2022,485,Lower,Camp,H&L,63.1345,-145.9564,150.400,5,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
6,4/5/2022,455,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,6,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
7,4/5/2022,450,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,7,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
8,4/5/2022,440,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,8,Corey,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
9,4/5/2022,561,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,9,Corey,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
10,4/5/2022,553,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,10,Corey,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
11,4/5/2022,547,Lower,Camp,H&L,63.1345,-145.9564,150.400,11,Corey,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
12,4/5/2022,479,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,12,Corey,,A_ST,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
13,4/5/2022,451,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,13,Corey,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,AL,AL,
14,4/6/2022,619,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,14,Mostly Bry,,AL,AL,AL,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
15,4/6/2022,577,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,15,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,NFM,NFM,NFM,NFM,NFM,
16,4/6/2022,480,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,16,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
17,4/6/2022,636,Lower,Camp,H&L,63.1345,-145.9564,150.400,17,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_ST,A_LT,A_LT,A_LT,
18,4/6/2022,435,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,18,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
19,4/6/2022,514,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,19,Mostly Bry,,A_LT,A_ST,A_ST,A_ST,A_ST,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,
20,4/6/2022,730,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,20,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
21,4/6/2022,633,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,21,Mostly Bry,,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,
22,4/6/2022,680,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,22,Mostly Bry,,A_ST,A_LT,A_LT,A_LT,A_ST,A_ST,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,AL,
23,4/6/2022,512,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,23,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
24,4/6/2022,555,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,24,Mostly Bry,,A_ST,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_ST,A_LT,A_LT,A_LT,A_LT,
25,4/6/2022,557,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,25,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
26,4/6/2022,472,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,26,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,NFM,
27,4/6/2022,500,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,27,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
28,4/6/2022,477,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,28,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
29,4/6/2022,577,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,29,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
30,4/6/2022,492,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,30,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,AL,
31,4/7/2022,712,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,31,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,AL,
32,4/6/2022,503,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,32,Mostly Bry,,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
33,4/6/2022,680,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,33,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
34,4/6/2022,492,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,34,Mostly Bry,,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,
35,4/6/2022,515,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,35,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
36,4/7/2022,578,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,36,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
37,4/6/2022,450,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,37,Mostly Bry,,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,
38,4/7/2022,560,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,38,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
39,4/7/2022,557,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,39,Corey,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
40,4/6/2022,570,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,40,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
54,6/3/2022,436,Round,Round,,63.05286,-145.9971,150.400,41,Joe,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
55,6/4/2022,469,Round,Round,,63.05155,-145.9906,150.400,42,Joe,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
56,6/4/2022,495,Round,Round,,63.05155,-145.9906,150.400,43,Joe,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
57,6/5/2022,560,Round,Round,,63.05788,-145.99826,150.400,44,Joe,,A_RT,A_RT,A_RT,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,R- 7/25/22
58,6/5/2022,463,Round,Round,,63.05589,-145.99782,150.400,45,Joe,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
59,6/5/2022,434,Round,Round,,63.05589,-145.99782,150.400,46,Joe,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
60,6/6/2022,476,Round,Round,,63.05589,-145.99782,150.400,47,Joe,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
61,6/6/2022,538,Round,Round,,63.05589,-145.99782,150.400,48,Joe,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
62,6/6/2022,550,Round,Round,,63.05589,-145.99782,150.400,49,Joe,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_LT,A_LT,
85,6/10/2022,516,Round,Round,,63.05859,-145.99651,150.400,73,Clint,,A_ST,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_ST,A_ST,A_RT,A_RT,A_RT,
93,6/12/2022,439,Round,Round,,63.05569,-145.97969,150.400,81,Joe,,A_ST,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_RT,NFM,
89,6/11/2022,502,Round,Round,,63.05765,-145.97728,150.400,82,Joe,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
90,6/11/2022,555,Round,Round,,63.06099,-145.98624,150.400,83,Joe,,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
91,6/11/2022,481,Round,Round,,63.05569,-145.97969,150.400,84,Clint,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
87,6/11/2022,462,Round,Round,,63.05596,-145.97911,150.400,85,Clint,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
92,6/11/2022,445,Round,Round,,63.06099,-145.98624,150.400,87,Clint,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,AL,AL,AL,AL,AL,
88,6/11/2022,496,Round,Round,,63.06099,-145.98624,150.400,88,Clint,,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
86,6/11/2022,515,Round,Round,,63.05483,-145.98204,150.400,90,Clint,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
100,6/12/2022,481,Round,Round,,63.06099,-145.98624,150.400,91,Laura,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
99,6/12/2022,496,Round,Round,,63.05371,-145.98348,150.400,92,Joe,,A_RT,A_RT,A_RT,A_RT,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
96,6/12/2022,449,Round,Round,,63.05809,-145.99459,150.400,93,Laura,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,FM,FM,FM,FM,FM,UR- 6/18/23
95,6/12/2022,430,Round,Round,,63.06099,-145.98624,150.400,94,Laura,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
97,6/12/2022,461,Round,Round,,63.0607,-145.97912,150.400,96,Clint,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,FM,FM,FM,FM,UR 6/28/23
98,6/12/2022,450,Round,Round,,63.05455,-145.98223,150.400,97,Clint,,A_RT,A_RT,A_RT,A_RT,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
94,6/12/2022,523,Round,Round,,63.06099,-145.98624,150.400,99,Joe,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
63,6/8/2022,686,Shallow,SW Bay,H&L,63.07476,-145.97215,150.400,50,Joe,,A_ST,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,NFM,NFM,NFM,NFM,
64,6/8/2022,526,Shallow,SW Bay,H&L,63.07111,-145.97672,150.400,61,Joe,,A_ST,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
65,6/8/2022,530,Shallow,SW Bay,H&L,63.07111,-145.97672,150.400,62,Joe,,A_ST,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_ST,A_ST,A_RT,A_RT,A_RT,A_RT,
72,6/9/2022,557,Shallow,SW Bay,H&L,63.07098,-145.97665,150.400,63,Joe,,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,
68,6/9/2022,590,Shallow,SW Bay,H&L,63.07098,-145.97665,150.400,64,Joe,,A_RT,A_RT,A_RT,A_RT,A_RT,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
69,6/9/2022,611,Shallow,SW Bay,H&L,63.07098,-145.97665,150.400,65,Joe,,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_RT,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_RT,NFM,
70,6/9/2022,487,Shallow,SW Bay,H&L,63.07098,-145.97665,150.400,66,Joe,,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_ST,A_RT,
67,6/9/2022,636,Shallow,SW Bay,H&L,63.07098,-145.97665,150.400,67,Joe,,A_ST,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_ST,A_ST,A_RT,A_RT,A_RT,AL,
71,6/9/2022,654,Shallow,SW Bay,H&L,63.07098,-145.97665,150.400,68,Joe,,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_ST,A_ST,A_RT,A_RT,A_RT,AL,
66,6/9/2022,541,Shallow,SW Bay,H&L,63.07098,-145.97665,150.400,69,Joe,,A_ST,A_RT,A_RT,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_RT,A_ST,A_ST,
73,6/9/2022,596,Shallow,SW Bay,H&L,63.07098,-145.97665,150.400,70,Joe,,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_RT,A_RT,AL,
75,6/9/2022,493,Shallow,SW Bay,H&L,63.06951,-145.97229,150.400,71,Joe,,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_RT,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_RT,AL,
74,6/9/2022,616,Shallow,SW Bay,H&L,63.07098,-145.97665,150.400,72,Clint,,A_ST,A_ST,A_ST,A_RT,A_RT,A_RT,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_ST,AL,
78,6/9/2022,481,Shallow,SW Bay,H&L,63.06951,-145.97229,150.400,74,Clint,,A_ST,A_ST,A_ST,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_ST,A_ST,A_RT,A_RT,A_RT,
77,6/9/2022,500,Shallow,SW Bay,H&L,63.06951,-145.97229,150.400,75,Joe,,A_ST,A_ST,A_ST,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_ST,A_ST,A_ST,A_RT,A_RT,A_RT,
80,6/9/2022,546,Shallow,SW Bay,H&L,63.07111,-145.97677,150.400,76,Joe,,A_ST,A_ST,A_ST,A_ST,A_RT,A_ST,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
82,6/9/2022,696,Shallow,SW Bay,H&L,63.07111,-145.97677,150.400,77,Clint,,A_RT,A_RT,A_RT,A_RT,A_RT,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,
76,6/9/2022,454,Shallow,SW Bay,H&L,63.06951,-145.97229,150.400,78,Joe,,A_ST,A_ST,A_RT,A_RT,A_RT,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_RT,A_ST,A_ST,
81,6/9/2022,622,Shallow,SW Bay,H&L,63.07111,-145.97677,150.400,79,Clint,,A_ST,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_ST,A_RT,AL,AL,AL,AL,
79,6/9/2022,581,Shallow,SW Bay,H&L,63.06951,-145.97229,150.400,80,Clint,,A_ST,A_RT,A_RT,A_RT,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_RT,A_RT,NFM,
84,6/10/2022,445,Shallow,1/3 down lake,H&L,63.07561,-145.95959,150.400,86,Clint,,A_ST,A_ST,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_RT,A_ST,A_ST,A_ST,A_RT,A_RT,AL,
83,6/10/2022,547,Shallow,1/3 down lake,H&L,63.07875,-145.96167,150.400,89,Joe,,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_RT,A_ST,A_ST,A_ST,A_ST,A_ST,A_ST,A_RT,A_ST,
48,6/10/2022,514,Upper,UT Island,GN,63.02115,-146.06022,150.400,51,Corey,,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,
50,6/11/2022,540,Upper,Rock Creek,Jug,63.03876,-146.05364,150.400,52,Corey,,A_UT,A_UT,A_UT,AL,AL,AL,A_GL,A_GL,A_GL,A_GL,A_GL,A_GL,A_GL,A_GL,A_GL,
44,6/9/2022,725,Upper,UT Island,H&L,63.019162,-146.06063,150.400,53,Corey,,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,
47,6/10/2022,570,Upper,Middle,Jug,63.02572,-146.06095,150.400,54,Corey,,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,
46,6/9/2022,725,Upper,UT Island,H&L,63.01723,-146.06071,150.400,55,Corey,,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,AL,FM,FM,FM,FM,FM,FM,FM,FM,ADFG 9/23/22
45,6/9/2022,438,Upper,UT Island,H&L,63.01723,-146.06071,150.400,56,Corey,,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,AL,AL,AL,AL,
49,6/10/2022,592,Upper,UT Island,Jug,63.02002,-146.0602,150.400,57,Corey,,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,AL,AL,AL,
43,6/9/2022,460,Upper,UT Island,H&L,63.019162,-146.06063,150.400,58,Corey,,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
41,6/9/2022,595,Upper,UT Island,GN,63.02253,-146.05831,150.400,59,Corey,,A_UT,A_UT,A_UT,A_UT,AL,AL,A_GL,A_GL,A_GL,A_GL,A_GL,A_GL,A_GL,A_GL,A_GL,
42,6/9/2022,565,Upper,UT Island,GN,63.02253,-146.05831,150.400,60,Corey,,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,AL,
53,6/11/2022,607,Upper,Rock Creek,Jug,63.040107,-146.05013,150.400,95,Corey,,A_UT,A_UT,A_UT,AL,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
52,6/11/2022,624,Upper,Rock Creek,H&L,63.03715,-146.05229,150.400,98,Corey,,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,A_UT,FM,FM,FM,FM,R- 7/23/23
51,6/11/2022,572,Upper,UT Island,H&L,63.02115,-146.06022,150.400,100,Corey,,A_UT,A_UT,A_UT,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,UR- 8/12/22
